image_id,question,answer,label,question_type,tumor_class,pred_idx,predicted
notumor_084,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
glioma_164,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_044,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_050,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
glioma_010,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_204,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
glioma_179,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
glioma_023,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_234,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
meningioma_052,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_231,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
notumor_070,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_109,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_036,Is this a glioma tumor?,no,79,binary,no tumor,79,no
meningioma_207,Where is the tumor located?,right temporal region,154,open_ended,meningioma,130,right parietal convexity
meningioma_039,Where is the tumor located?,anterior skull base,2,open_ended,meningioma,159,sellar and suprasellar region
meningioma_082,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_055,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_128,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
meningioma_171,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_125,Where is the tumor located?,left temporal lobe,70,open_ended,glioma,112,right frontal lobe
notumor_072,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_215,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_098,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_130,Where is the tumor located?,posterior fossa midline,94,open_ended,meningioma,130,right parietal convexity
pituitary_097,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_156,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
pituitary_020,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_136,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_055,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_171,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_205,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
pituitary_249,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_105,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
pituitary_055,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_223,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
meningioma_170,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_050,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_136,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
pituitary_241,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
pituitary_135,Where is the tumor located?,sellar region anterior skull base,161,open_ended,pituitary,160,sellar region
glioma_239,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
notumor_037,Is this a glioma tumor?,no,79,binary,no tumor,79,no
notumor_021,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_159,Where is the tumor located?,sellar region suprasellar extension,166,open_ended,pituitary,160,sellar region
glioma_188,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
pituitary_177,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
glioma_059,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
glioma_184,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_248,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
notumor_152,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_040,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_113,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
pituitary_112,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
pituitary_246,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
meningioma_053,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_017,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_040,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_016,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
pituitary_155,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_042,Where is the tumor located?,superior parasagittal region,169,open_ended,meningioma,130,right parietal convexity
notumor_056,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_124,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
pituitary_235,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
pituitary_249,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,160,sellar region
notumor_025,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
notumor_071,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
notumor_136,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_036,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_222,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_036,Where is the tumor located?,left frontoparietal region,47,open_ended,glioma,112,right frontal lobe
notumor_231,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
glioma_213,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
pituitary_196,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
glioma_180,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
notumor_197,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
pituitary_126,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
glioma_067,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_019,Where is the tumor located?,left cerebellar hemisphere,36,open_ended,glioma,112,right frontal lobe
pituitary_124,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
glioma_099,Where is the tumor located?,posterior fossa cerebellar region,89,open_ended,glioma,130,right parietal convexity
notumor_096,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
pituitary_057,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_023,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_182,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
glioma_100,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
meningioma_092,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
notumor_079,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
meningioma_226,Where is the tumor located?,right parietal convexity,130,open_ended,meningioma,130,right parietal convexity
glioma_149,Where is the tumor located?,right temporal parietal region,152,open_ended,glioma,112,right frontal lobe
pituitary_028,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_075,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_206,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
glioma_219,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_112,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_220,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_082,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
meningioma_138,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_010,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_119,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
pituitary_178,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_089,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_036,Where is the tumor located?,suprasellar region,172,open_ended,pituitary,160,sellar region
notumor_133,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_245,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
meningioma_143,Where is the tumor located?,right frontal convexity,111,open_ended,meningioma,130,right parietal convexity
meningioma_031,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
pituitary_197,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,77,meningioma
pituitary_060,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
pituitary_242,Where is the tumor located?,sellar and parasellar region,158,open_ended,pituitary,160,sellar region
pituitary_127,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
meningioma_224,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
glioma_169,Where is the tumor located?,left temporal periventricular region,74,open_ended,glioma,112,right frontal lobe
pituitary_203,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_018,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_183,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_104,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_037,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_130,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_163,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
glioma_207,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
notumor_067,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_155,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_029,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
glioma_105,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
notumor_018,Is this a glioma tumor?,no,79,binary,no tumor,79,no
meningioma_157,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
notumor_005,Is this a glioma tumor?,no,79,binary,no tumor,79,no
pituitary_164,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_230,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_023,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
pituitary_225,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_121,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_021,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
glioma_189,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
pituitary_137,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_082,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
meningioma_158,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
glioma_003,Where is the tumor located?,right central parietal region,108,open_ended,glioma,112,right frontal lobe
pituitary_112,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
glioma_072,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
meningioma_017,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_048,Where is the tumor located?,right parasagittal frontal region,127,open_ended,meningioma,130,right parietal convexity
meningioma_111,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_246,Is this a pituitary tumor?,no,79,binary,no tumor,79,no
notumor_183,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
pituitary_185,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_152,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
meningioma_143,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
pituitary_107,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
pituitary_185,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_121,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
meningioma_172,Where is the tumor located?,anterior skull base,2,open_ended,meningioma,112,right frontal lobe
glioma_213,Where is the tumor located?,left basal ganglia region,34,open_ended,glioma,112,right frontal lobe
pituitary_052,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,160,sellar region
glioma_224,Where is the tumor located?,right frontal lobe,112,open_ended,glioma,112,right frontal lobe
glioma_125,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
pituitary_077,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_196,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,30,glioma
glioma_084,Where is the tumor located?,right cerebellar region,110,open_ended,glioma,112,right frontal lobe
pituitary_210,Where is the tumor located?,central skull base,24,open_ended,pituitary,160,sellar region
notumor_022,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_129,Where is the tumor located?,left parietal lobe,57,open_ended,glioma,112,right frontal lobe
meningioma_088,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_004,Where is the tumor located?,sellar suprasellar region,168,open_ended,meningioma,130,right parietal convexity
pituitary_205,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_187,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
notumor_185,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
pituitary_203,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
notumor_074,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_063,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_193,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_246,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
meningioma_196,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_143,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_197,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_018,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
glioma_090,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_201,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
notumor_082,Is this a glioma tumor?,no,79,binary,no tumor,79,no
meningioma_079,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_159,Where is the tumor located?,right parietal convexity,130,open_ended,meningioma,112,right frontal lobe
glioma_138,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
pituitary_098,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
pituitary_120,Where is the tumor located?,sellar region suprasellar extension,166,open_ended,pituitary,160,sellar region
pituitary_131,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
pituitary_067,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
pituitary_240,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
meningioma_057,Where is the tumor located?,left frontal lobe,39,open_ended,meningioma,130,right parietal convexity
notumor_142,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_015,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_240,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
meningioma_194,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
pituitary_036,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
meningioma_003,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_030,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_024,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_140,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
notumor_090,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_187,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
notumor_198,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_250,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
meningioma_170,Where is the tumor located?,right superior parietal convexity,146,open_ended,meningioma,130,right parietal convexity
glioma_039,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
notumor_037,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
notumor_177,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
pituitary_228,Is there a tumor visible in this MRI scan?,yes,174,binary,pituitary,174,yes
pituitary_210,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
glioma_146,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
meningioma_118,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
glioma_176,Where is the tumor located?,right temporal parietal region,152,open_ended,glioma,112,right frontal lobe
meningioma_054,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
notumor_086,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_225,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_078,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
glioma_122,Where is the tumor located?,bifrontal base region,4,open_ended,glioma,112,right frontal lobe
glioma_140,Where is the tumor located?,right frontal lobe,112,open_ended,glioma,112,right frontal lobe
meningioma_036,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_030,Where is the tumor located?,right frontoparietal convexity,120,open_ended,meningioma,130,right parietal convexity
pituitary_213,Is this a pituitary tumor?,yes,174,binary,pituitary,174,yes
glioma_129,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_159,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
notumor_109,Is this a glioma tumor?,no,79,binary,no tumor,79,no
meningioma_167,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_004,Is there a tumor visible in this MRI scan?,yes,174,binary,meningioma,174,yes
meningioma_233,Where is the tumor located?,right parietal convexity,130,open_ended,meningioma,130,right parietal convexity
meningioma_038,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
pituitary_210,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
notumor_185,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
glioma_030,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_186,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_170,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
meningioma_244,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
meningioma_021,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
meningioma_203,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
glioma_208,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
glioma_030,Where is the tumor located?,central posterior fossa,21,open_ended,glioma,112,right frontal lobe
glioma_165,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_159,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
notumor_174,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
notumor_227,Is this a meningioma tumor?,no,79,binary,no tumor,79,no
glioma_159,Where is the tumor located?,right parietal lobe,131,open_ended,glioma,112,right frontal lobe
glioma_093,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
glioma_068,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
pituitary_176,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,160,sellar region
pituitary_246,Where is the tumor located?,sellar region,160,open_ended,pituitary,160,sellar region
pituitary_218,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
pituitary_229,What type of brain tumor is shown?,pituitary tumor,85,open_ended,pituitary,85,pituitary tumor
glioma_012,What type of brain tumor is shown?,glioma,30,open_ended,glioma,30,glioma
notumor_106,Is this a glioma tumor?,no,79,binary,no tumor,79,no
notumor_175,Is this a glioma tumor?,no,79,binary,no tumor,79,no
glioma_248,Where is the tumor located?,left frontal lobe,39,open_ended,glioma,112,right frontal lobe
glioma_220,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
glioma_194,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
meningioma_055,Where is the tumor located?,posterior fossa midline,94,open_ended,meningioma,160,sellar region
meningioma_032,What type of brain tumor is shown?,meningioma,77,open_ended,meningioma,77,meningioma
glioma_002,Is there a tumor visible in this MRI scan?,yes,174,binary,glioma,174,yes
notumor_013,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
meningioma_149,Where is the tumor located?,posterior fossa skull base,98,open_ended,meningioma,130,right parietal convexity
notumor_032,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
pituitary_078,Where is the tumor located?,sellar and suprasellar region,159,open_ended,pituitary,160,sellar region
notumor_011,Is there a tumor visible in this MRI scan?,no,79,binary,no tumor,79,no
notumor_207,Where is the tumor located?,no tumor present,81,open_ended,no tumor,81,no tumor present
pituitary_123,Where is the tumor located?,sellar region anterior skull base,161,open_ended,pituitary,159,sellar and suprasellar region
notumor_013,What type of brain tumor is shown?,no tumor,80,open_ended,no tumor,80,no tumor
meningioma_020,Is this a meningioma tumor?,yes,174,binary,meningioma,174,yes
glioma_210,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
glioma_171,Is this a glioma tumor?,yes,174,binary,glioma,174,yes
